shortname,gameservername,gamename,os,port
vints,vintsserver,Vintage Story,ubuntu-22.04,0
vpmc,vpmcserver,Velocity Proxy MC,ubuntu-22.04,0
vs,vsserver,Vampire Slayer,ubuntu-22.04,0
wet,wetserver,Wolfenstein: Enemy Territory,ubuntu-22.04,0
wf,wfserver,Warfork,ubuntu-22.04,0
wmc,wmcserver,WaterfallMC,ubuntu-22.04,0
wurm,wurmserver,Wurm Unlimited,ubuntu-22.04,0
xnt,xntserver,Xonotic,ubuntu-22.04,0
zmr,zmrserver,Zombie Master: Reborn,ubuntu-22.04,0
zps,zpsserver,Zombie Panic! Source,ubuntu-22.04,0
